# Format:
# Kategoria | Dostawca | URL

# Finanse (PL)
Finanse | Bankier | https://www.bankier.pl/rss/wiadomosci.xml
Finanse | Money.pl | https://www.money.pl/rss/
Finanse | Puls Biznesu | https://www.pb.pl/rss

# Finanse (Global)
Finanse | Reuters Business | https://www.reutersagency.com/feed/?taxonomy=best-sectors&post_type=best
Finanse | WSJ Markets | https://feeds.content.dowjones.com/rss/wsj/WSJMarketsAndFinance
Finanse | The Economist Finance | https://www.economist.com/finance-and-economics/rss.xml
Finanse | Google News Finance | https://news.google.com/rss/search?q=finance&hl=en-US&gl=US&ceid=US:en

# Technologia
Technologia | The Verge | https://www.theverge.com/rss/index.xml
Technologia | TechCrunch | https://techcrunch.com/feed/
Technologia | Ars Technica | https://feeds.arstechnica.com/arstechnica/index
Technologia | Wired | https://www.wired.com/feed/rss
Technologia | Google News Tech | https://news.google.com/rss/search?q=technology&hl=en-US&gl=US&ceid=US:en
